# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.40, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.31, [alpha/Fe] = 0.0
# M_remnant = 0.914 Msun, M_yield(all) = 2.086 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.253639   1.085439E+00   5.203824E-01
 he   2   11.353737   0.423737   1.677375   9.803972E-01   4.700231E-01
  c   6    8.288524  -0.181476   1.072163   2.552265E-03   1.223609E-03
  n   7    9.019518   1.149518   2.403157   1.589471E-02   7.620256E-03
  o   8    7.591214  -1.138786   0.114853   6.776478E-04   3.248786E-04
  f   9    3.956202  -0.463798   0.789841   1.864494E-07   8.938775E-08
 ne  10    7.349891  -0.620109   0.633530   5.235993E-04   2.510245E-04
 na  11    5.724956  -0.515044   0.738595   1.325225E-05   6.353408E-06
 mg  12    6.613291  -1.026709   0.226930   1.106874E-04   5.306587E-05
 al  13    5.405767  -1.044233   0.209406   7.459953E-06   3.576459E-06
 si  14    6.326516  -1.223484   0.030154   6.474732E-05   3.104123E-05
  p  15    4.287417  -1.122583   0.131056   6.522054E-07   3.126810E-07
  s  16    5.908183  -1.241817   0.011822   2.820410E-05   1.352164E-05
 cl  17    4.011483  -1.218517   0.035121   3.967388E-07   1.902050E-07
 ar  18    5.187192  -1.252808   0.000831   6.068725E-06   2.909475E-06
  k  19    3.847461  -1.232539   0.021100   2.990338E-07   1.433631E-07
 ca  20    5.034083  -1.255917  -0.002279   4.710890E-06   2.258500E-06
 sc  21    1.951282  -1.098718   0.154921   4.366166E-09   2.093232E-09
 ti  22    3.664372  -1.245628   0.008011   2.403753E-07   1.152410E-07
  v  23    2.703147  -1.256853  -0.003214   2.794622E-08   1.339801E-08
 cr  24    4.367899  -1.272101  -0.018462   1.320992E-06   6.333113E-07
 mn  25    4.223592  -1.256408  -0.002769   9.989878E-07   4.789358E-07
 fe  26    6.286361  -1.253639   0.000000   1.174024E-04   5.628516E-05
 co  27    3.927309  -0.942691   0.310948   5.417104E-07   2.597074E-07
 ni  28    4.998898  -1.201102   0.052536   6.407556E-06   3.071917E-06
 cu  29    3.516637  -0.733363   0.520276   2.266119E-07   1.086425E-07
 zn  30    3.574252  -1.055748   0.197890   2.691549E-07   1.290385E-07
 ga  31    2.408399  -0.671601   0.582038   1.942905E-08   9.314697E-09
 ge  32    2.850970  -0.729030   0.524608   5.563876E-08   2.667440E-08
 as  33    1.432700  -0.867300   0.386339   2.204787E-09   1.057021E-09
 se  34    2.704626  -0.635374   0.618265   4.321477E-08   2.071807E-08
 br  35    1.621908  -0.918092   0.335547   3.656183E-09   1.752851E-09
 kr  36    2.781224  -0.468776   0.784863   5.548883E-08   2.660251E-08
 rb  37    2.128886  -0.391114   0.862525   1.257065E-08   6.026634E-09
 sr  38    2.327388  -0.552612   0.701026   2.022085E-08   9.694301E-09
  y  39    1.609737  -0.600263   0.653375   3.933073E-09   1.885598E-09
 zr  40    1.884683  -0.645317   0.608322   7.656954E-09   3.670905E-09
 nb  41    0.667657  -0.742343   0.511295   4.696185E-10   2.251450E-10
 mo  42    1.014158  -0.925842   0.327797   1.083052E-09   5.192378E-10
 ru  44    0.712566  -1.047434   0.206204   5.648639E-10   2.708076E-10
 rh  45   -0.083102  -1.143102   0.110537   9.232961E-11   4.426476E-11
 pd  46    0.628499  -1.021501   0.232138   4.894334E-10   2.346447E-10
 ag  47    0.065182  -1.134818   0.118821   1.362332E-10   6.531307E-11
 cd  48    0.702376  -1.007624   0.246015   6.141410E-10   2.944321E-10
 in  49   -0.334738  -1.094738   0.158901   5.775182E-11   2.768744E-11
 sn  50    1.029703  -1.040297   0.213341   1.376077E-09   6.597203E-10
 sb  51   -0.338797  -1.348797  -0.095159   6.019958E-11   2.886095E-11
 te  52    0.655013  -1.524987  -0.271348   6.129411E-10   2.938569E-10
