# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.0
# M_remnant = 0.801 Msun, M_yield(all) = 2.199 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.359315   1.442128E+00   6.558556E-01
 he   2   11.097060   0.167060   1.526374   7.213125E-01   3.280409E-01
  c   6    9.257309   0.787309   2.146624   3.141036E-02   1.428491E-02
  n   7    7.677840  -0.192160   1.167154   9.615501E-04   4.372970E-04
  o   8    7.335793  -1.394207  -0.034892   4.999430E-04   2.273657E-04
  f   9    5.167370   0.747370   2.106685   4.028352E-06   1.832027E-06
 ne  10    7.791710  -0.178290   1.181025   1.950436E-03   8.870260E-04
 na  11    5.817337  -0.422663   0.936651   2.178051E-05   9.905415E-06
 mg  12    6.783888  -0.856112   0.503203   2.232598E-04   1.015348E-04
 al  13    6.068462  -0.381538   0.977777   4.558582E-05   2.073167E-05
 si  14    6.460623  -1.089377   0.269937   1.170216E-04   5.321949E-05
  p  15    4.297005  -1.112995   0.246319   8.858699E-07   4.028789E-07
  s  16    5.803306  -1.346694   0.012621   2.944105E-05   1.338930E-05
 cl  17    3.974277  -1.255723   0.103592   4.846370E-07   2.204048E-07
 ar  18    5.081664  -1.358336   0.000978   6.329765E-06   2.878672E-06
  k  19    3.773375  -1.306625   0.052690   3.350870E-07   1.523920E-07
 ca  20    4.923845  -1.366155  -0.006841   4.857517E-06   2.209118E-06
 sc  21    2.048396  -1.001604   0.357710   7.254571E-09   3.299258E-09
 ti  22    3.564495  -1.345505   0.013809   2.540155E-07   1.155220E-07
  v  23    2.593294  -1.366706  -0.007391   2.883157E-08   1.311212E-08
 cr  24    4.261885  -1.378115  -0.018800   1.375631E-06   6.256142E-07
 mn  25    4.111354  -1.368646  -0.009331   1.024992E-06   4.661495E-07
 fe  26    6.180685  -1.359315   0.000000   1.224148E-04   5.567222E-05
 co  27    4.111233  -0.758767   0.600548   1.099231E-06   4.999120E-07
 ni  28    4.946031  -1.253969   0.105345   7.583346E-06   3.448780E-06
 cu  29    3.649897  -0.600103   0.759211   4.089923E-07   1.860029E-07
 zn  30    3.583904  -1.046096   0.313218   3.670452E-07   1.669260E-07
 ga  31    2.483566  -0.596434   0.762881   3.068206E-08   1.395369E-08
 ge  32    2.915020  -0.664980   0.694334   8.562187E-08   3.893940E-08
 as  33    1.468066  -0.831934   0.527381   3.177834E-09   1.445226E-09
 se  34    2.761809  -0.578191   0.781124   6.545636E-08   2.976846E-08
 br  35    1.712028  -0.827972   0.531343   5.965477E-09   2.713000E-09
 kr  36    2.795765  -0.454235   0.905080   7.616920E-08   3.464048E-08
 rb  37    2.184556  -0.335444   1.023871   1.899818E-08   8.640056E-09
 sr  38    2.276326  -0.603674   0.755641   2.387831E-08   1.085946E-08
  y  39    1.537190  -0.672810   0.686504   4.421642E-09   2.010889E-09
 zr  40    1.798025  -0.731975   0.627339   8.335922E-09   3.791039E-09
 nb  41    0.572622  -0.837378   0.521937   5.013130E-10   2.279888E-10
 mo  42    0.888850  -1.051150   0.308164   1.077512E-09   4.900347E-10
 ru  44    0.549225  -1.210775   0.148540   5.152165E-10   2.343119E-10
 rh  45   -0.221065  -1.281065   0.078249   8.928443E-11   4.060507E-11
 pd  46    0.471471  -1.178529   0.180786   4.530120E-10   2.060223E-10
 ag  47   -0.070990  -1.270990   0.088325   1.322789E-10   6.015824E-11
 cd  48    0.556459  -1.153541   0.205773   5.831768E-10   2.652191E-10
 in  49   -0.469213  -1.229213   0.130102   5.629748E-11   2.560316E-11
 sn  50    0.890031  -1.179969   0.179346   1.325427E-09   6.027822E-10
 sb  51   -0.472169  -1.482169  -0.122854   5.883293E-11   2.675624E-11
 te  52    0.515915  -1.664085  -0.304770   5.912326E-10   2.688827E-10
  i  53    0.189041  -1.360959  -0.001644   2.830405E-10   1.287221E-10
 xe  54    0.936798  -1.303202   0.056112   1.635019E-09   7.435795E-10
 cs  55   -0.234835  -1.314835   0.044480   1.116917E-10   5.079552E-11
 ba  56    1.053166  -1.126834   0.232480   2.238301E-09   1.017942E-09
 la  57   -0.070916  -1.240916   0.118399   1.702562E-10   7.742969E-11
 ce  58    0.335968  -1.244032   0.115283   4.384118E-10   1.993824E-10
 pr  59   -0.536374  -1.296374   0.062940   5.913552E-11   2.689385E-11
 nd  60    0.119605  -1.330395   0.028919   2.734751E-10   1.243719E-10
 sm  62   -0.514230  -1.454230  -0.094915   6.602279E-11   3.002607E-11
 eu  63   -0.860888  -1.370888  -0.011573   3.020546E-11   1.373694E-11
 gd  64   -0.407193  -1.457193  -0.097879   8.843188E-11   4.021735E-11
 tb  65   -1.046747  -1.366747  -0.007432   2.058990E-11   9.363944E-12
 dy  66   -0.224301  -1.354301   0.005014   1.398922E-10   6.362063E-11
 ho  67   -0.899680  -1.369680  -0.010365   2.997836E-11   1.363366E-11
 er  68   -0.438176  -1.358176   0.001139   8.802372E-11   4.003172E-11
 tm  69   -1.240574  -1.360574  -0.001259   1.400608E-11   6.369734E-12
 yb  70   -0.451538  -1.371538  -0.012224   8.806425E-11   4.005016E-11
 lu  71   -1.244428  -1.334428   0.024886   1.438079E-11   6.540144E-12
 hf  72   -0.594953  -1.304953   0.054362   6.546860E-11   2.977403E-11
 ta  73   -1.443738  -1.323738   0.035577   9.396035E-12   4.273160E-12
  w  74   -0.652741  -1.302741   0.056574   5.900230E-11   2.683327E-11
 re  75   -1.098575  -1.358575   0.000739   2.140688E-11   9.735492E-12
 os  76   -0.016079  -1.366079  -0.006764   2.643819E-10   1.202365E-10
 ir  77   -0.057904  -1.377904  -0.018590   2.426459E-10   1.103513E-10
 pt  78    0.217470  -1.402530  -0.043216   4.637360E-10   2.108994E-10
 au  79   -0.569924  -1.369924  -0.010609   7.647973E-11   3.478171E-11
 hg  80   -0.159734  -1.329734   0.029581   2.000581E-10   9.098309E-11
 tl  81   -0.485311  -1.255311   0.104004   9.642567E-11   4.385279E-11
 pb  82    0.741415  -1.298585   0.060730   1.648453E-09   7.496889E-10
 bi  83   -0.671914  -1.321914   0.037401   6.415583E-11   2.917700E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.3965   0.6898   0.1238  -0.5661  -0.0630      1.9630      9.5609
