# M_ini =  4.00 Msun, Z = 0.0006, Y = 0.24, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.0
# M_remnant = 0.886 Msun, M_yield(all) = 3.114 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.351376   1.955674E+00   6.280669E-01
 he   2   11.139062   0.209062   1.560438   1.077502E+00   3.460411E-01
  c   6    8.212966  -0.257034   1.094342   3.882330E-03   1.246815E-03
  n   7    9.404416   1.534416   2.885791   6.947694E-02   2.231260E-02
  o   8    7.593408  -1.136592   0.214784   1.227126E-03   3.940930E-04
  f   9    3.945309  -0.474691   0.876685   3.276117E-07   1.052129E-07
 ne  10    8.002725   0.032725   1.384101   4.303369E-03   1.382032E-03
 na  11    6.411198   0.171198   1.522574   1.159371E-04   3.723332E-05
 mg  12    7.372561  -0.267439   1.083937   1.175518E-03   3.775188E-04
 al  13    6.160777  -0.289223   1.062153   7.646046E-05   2.455536E-05
 si  14    6.391540  -1.158460   0.192916   1.360534E-04   4.369370E-05
  p  15    4.775998  -0.634002   0.717374   3.619565E-06   1.162427E-06
  s  16    5.819407  -1.330593   0.020783   4.145922E-05   1.331467E-05
 cl  17    3.968709  -1.261291   0.090085   6.503649E-07   2.088654E-07
 ar  18    5.095354  -1.344646   0.006730   8.869334E-06   2.848396E-06
  k  19    3.817121  -1.262879   0.088497   5.027028E-07   1.614436E-07
 ca  20    4.932817  -1.357183  -0.005807   6.729726E-06   2.161259E-06
 sc  21    2.211343  -0.838657   0.512719   1.431700E-08   4.597919E-09
 ti  22    3.601141  -1.308859   0.042517   3.751615E-07   1.204835E-07
  v  23    2.611048  -1.348952   0.002424   4.073007E-08   1.308051E-08
 cr  24    4.269565  -1.370435  -0.019059   1.898860E-06   6.098210E-07
 mn  25    4.116723  -1.363277  -0.011901   1.407285E-06   4.519511E-07
 fe  26    6.188624  -1.351376   0.000000   1.691450E-04   5.432112E-05
 co  27    4.055712  -0.814288   0.537088   1.311780E-06   4.212795E-07
 ni  28    5.052442  -1.147558   0.203818   1.327690E-05   4.263891E-06
 cu  29    4.012577  -0.237423   1.113953   1.280158E-06   4.111242E-07
 zn  30    3.957551  -0.672449   0.678927   1.185061E-06   3.805836E-07
 ga  31    3.017723  -0.062277   1.289099   1.424402E-07   4.574484E-08
 ge  32    3.461735  -0.118265   1.233111   4.089638E-07   1.313392E-07
 as  33    1.987156  -0.312844   1.038532   1.424013E-08   4.573235E-09
 se  34    3.365551   0.025551   1.376926   3.565607E-07   1.145099E-07
 br  35    2.305233  -0.234767   1.116609   3.171682E-08   1.018589E-08
 kr  36    3.591241   0.341241   1.692617   6.480601E-07   2.081252E-07
 rb  37    2.971498   0.451498   1.802874   1.579987E-07   5.074147E-08
 sr  38    3.131294   0.251294   1.602670   2.320777E-07   7.453202E-08
  y  39    2.440031   0.230031   1.581407   4.794215E-08   1.539667E-08
 zr  40    2.750952   0.220952   1.572327   1.018217E-07   3.270016E-08
 nb  41    1.495074   0.085074   1.436450   5.686613E-09   1.826262E-09
 mo  42    1.825162  -0.114838   1.236538   1.264377E-08   4.060562E-09
 ru  44    1.448182  -0.311818   1.039558   5.535232E-09   1.777646E-09
 rh  45    0.367011  -0.692989   0.658387   4.689698E-10   1.506102E-10
 pd  46    1.339410  -0.310590   1.040786   4.532047E-09   1.455472E-09
 ag  47    0.546648  -0.653352   0.698024   7.446447E-10   2.391435E-10
 cd  48    1.437841  -0.272159   1.079217   6.017910E-09   1.932659E-09
 in  49    0.289592  -0.470408   0.880968   4.381133E-10   1.407006E-10
 sn  50    1.798221  -0.271779   1.079597   1.454899E-08   4.672424E-09
 sb  51    0.264490  -0.745510   0.605866   4.350831E-10   1.397274E-10
 te  52    1.330210  -0.849790   0.501585   5.217265E-09   1.675531E-09
  i  53    0.424609  -1.125391   0.225985   6.602518E-10   2.120406E-10
 xe  54    1.557966  -0.682034   0.669342   9.298663E-09   2.986276E-09
 cs  55    0.251276  -0.828724   0.522652   4.638997E-10   1.489819E-10
 ba  56    1.974626  -0.205374   1.146002   2.532317E-08   8.132565E-09
 la  57    0.700866  -0.469134   0.882242   1.365141E-09   4.384167E-10
 ce  58    1.075808  -0.504192   0.847184   3.266656E-09   1.049090E-09
 pr  59    0.053008  -0.706992   0.644384   3.115472E-10   1.000537E-10
 nd  60    0.690383  -0.759617   0.591759   1.378997E-09   4.428663E-10
 sm  62   -0.044282  -0.984282   0.367094   2.639135E-10   8.475611E-11
 eu  63   -0.723606  -1.233606   0.117770   5.618936E-11   1.804528E-11
 gd  64   -0.092281  -1.142281   0.209094   2.478709E-10   7.960402E-11
 tb  65   -0.867549  -1.187549   0.163827   4.218370E-11   1.354734E-11
 dy  66    0.064732  -1.065268   0.286108   3.692297E-10   1.185785E-10
 ho  67   -0.751511  -1.221511   0.129864   5.718326E-11   1.836447E-11
 er  68   -0.132895  -1.052895   0.298481   2.412332E-10   7.747231E-11
 tm  69   -1.002632  -1.122632   0.228744   3.285118E-11   1.055019E-11
 yb  70    0.055793  -0.864207   0.487169   3.843259E-10   1.234267E-10
 lu  71   -0.837510  -0.927510   0.423866   4.983382E-11   1.600419E-11
 hf  72   -0.054072  -0.764072   0.587304   3.090532E-10   9.925278E-11
 ta  73   -0.978995  -0.858995   0.492381   3.715183E-11   1.193135E-11
  w  74   -0.101574  -0.751574   0.599802   2.847346E-10   9.144284E-11
 re  75   -0.828681  -1.088681   0.262695   5.398396E-11   1.733701E-11
 os  76    0.161359  -1.188641   0.162735   5.382112E-10   1.728471E-10
 ir  77   -0.010508  -1.330508   0.020868   3.669717E-10   1.178534E-10
 pt  78    0.337405  -1.282595   0.068781   8.289470E-10   2.662173E-10
 au  79   -0.449938  -1.249938   0.101438   1.367176E-10   4.390700E-11
 hg  80    0.325950  -0.844050   0.507326   8.301072E-10   2.665899E-10
 tl  81    0.078379  -0.691621   0.659754   4.787408E-10   1.537481E-10
 pb  82    1.106775  -0.933225   0.418151   5.182886E-09   1.664490E-09
 bi  83   -0.402195  -1.052195   0.299181   1.619003E-10   5.199447E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.2305   1.5855   0.8668  -0.7187  -0.4486      0.9574      8.5632
