# M_ini =  5.00 Msun, Z = 0.0006, Y = 0.40, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.31, [alpha/Fe] = 0.0
# M_remnant = 1.125 Msun, M_yield(all) = 3.875 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.214630   1.860427E+00   4.801415E-01
 he   2   11.431289   0.501289   1.715919   2.008917E+00   5.184639E-01
  c   6    7.620353  -0.849647   0.364983   9.386854E-04   2.422571E-04
  n   7    8.193665   0.323665   1.538295   4.068249E-03   1.049939E-03
  o   8    6.478995  -2.251005  -1.036376   8.970409E-05   2.315095E-05
  f   9    2.407367  -2.012633  -0.798003   9.030958E-09   2.330721E-09
 ne  10    6.779980  -1.190020   0.024610   2.265756E-04   5.847492E-05
 na  11    4.305494  -1.934506  -0.719876   8.646010E-07   2.231373E-07
 mg  12    5.670251  -1.969749  -0.755120   2.194356E-05   5.663221E-06
 al  13    5.422504  -1.027496   0.187134   1.328864E-05   3.429549E-06
 si  14    6.661001  -0.888999   0.325631   2.391035E-04   6.170814E-05
  p  15    4.139951  -1.270049  -0.055420   7.960223E-07   2.054384E-07
  s  16    5.945620  -1.204380   0.010250   5.267379E-05   1.359412E-05
 cl  17    4.110102  -1.119898   0.094732   8.491439E-07   2.191481E-07
 ar  18    5.225189  -1.214811  -0.000181   1.134574E-05   2.928124E-06
  k  19    3.874360  -1.205640   0.008990   5.453726E-07   1.407505E-07
 ca  20    5.075038  -1.214962  -0.000332   8.871044E-06   2.289450E-06
 sc  21    1.859840  -1.190160   0.024470   6.062689E-09   1.564667E-09
 ti  22    3.696196  -1.213804   0.000825   4.429693E-07   1.143221E-07
  v  23    2.740907  -1.219093  -0.004463   5.225049E-08   1.348487E-08
 cr  24    4.406300  -1.233700  -0.019070   2.472761E-06   6.381732E-07
 mn  25    4.274855  -1.205145   0.009484   1.926770E-06   4.972633E-07
 fe  26    6.325370  -1.214630   0.000000   2.200384E-04   5.678778E-05
 co  27    3.698944  -1.171056   0.043573   5.487939E-07   1.416334E-07
 ni  28    4.989135  -1.210865   0.003764   1.066896E-05   2.753460E-06
 cu  29    3.110884  -1.139116   0.075513   1.527743E-07   3.942820E-08
 zn  30    3.437525  -1.192475   0.022155   3.340168E-07   8.620348E-08
 ga  31    1.966737  -1.113263   0.101366   1.202961E-08   3.104618E-09
 ge  32    2.429552  -1.150448   0.064181   3.620350E-08   9.343444E-09
 as  33    1.136371  -1.163629   0.051001   1.910052E-09   4.929487E-10
 se  34    2.218604  -1.121396   0.093234   2.423111E-08   6.253596E-09
 br  35    1.365491  -1.174509   0.040121   3.457608E-09   8.923439E-10
 kr  36    2.250478  -0.999522   0.215108   2.791511E-08   7.204368E-09
 rb  37    1.563722  -0.956278   0.258352   5.851653E-09   1.510202E-09
 sr  38    1.847643  -1.032357   0.182273   1.149252E-08   2.966005E-09
  y  39    1.175010  -1.034990   0.179639   2.477493E-09   6.393946E-10
 zr  40    1.490954  -1.039046   0.175584   5.283831E-09   1.363658E-09
 nb  41    0.327327  -1.082673   0.131957   3.676407E-10   9.488117E-11
 mo  42    0.717178  -1.222822  -0.008193   9.347879E-10   2.412513E-10
 ru  44    0.488184  -1.271816  -0.057186   5.777441E-10   1.491049E-10
 rh  45   -0.146798  -1.206798   0.007832   1.366633E-10   3.527024E-11
 pd  46    0.445600  -1.204400   0.010229   5.506140E-10   1.421032E-10
 ag  47    0.001279  -1.198721   0.015909   2.014745E-10   5.199679E-11
 cd  48    0.530404  -1.179596   0.035034   7.084582E-10   1.828398E-10
 in  49   -0.439007  -1.199007   0.015623   7.785807E-11   2.009371E-11
 sn  50    0.866952  -1.203048   0.011581   1.621758E-09   4.185452E-10
 sb  51   -0.416506  -1.426506  -0.211877   8.627636E-11   2.226631E-11
 te  52    0.546923  -1.633077  -0.418447   8.198539E-10   2.115889E-10
  i  53    0.322067  -1.227933  -0.013303   4.960025E-10   1.280089E-10
 xe  54    1.015481  -1.224519  -0.009889   2.524206E-09   6.514503E-10
 cs  55   -0.124811  -1.204811   0.009818   1.856322E-10   4.790818E-11
 ba  56    1.037499  -1.142501   0.072129   2.786895E-09   7.192454E-10
 la  57   -0.004715  -1.174715   0.039915   2.558073E-10   6.601908E-11
 ce  58    0.401429  -1.178571   0.036059   6.574720E-10   1.696812E-10
 pr  59   -0.435283  -1.195283   0.019347   9.628283E-11   2.484880E-11
 nd  60    0.230465  -1.219535  -0.004906   4.554238E-10   1.175364E-10
 sm  62   -0.391687  -1.331687  -0.117057   1.129731E-10   2.915624E-11
 eu  63   -0.731272  -1.241272  -0.026642   5.252238E-11   1.355504E-11
 gd  64   -0.258615  -1.308615  -0.093985   1.605886E-10   4.144492E-11
 tb  65   -0.911433  -1.231433  -0.016803   3.627244E-11   9.361238E-12
 dy  66   -0.076766  -1.206766   0.007863   2.534813E-10   6.541878E-11
 ho  67   -0.761508  -1.231508  -0.016879   5.316041E-11   1.371970E-11
 er  68   -0.289097  -1.209097   0.005532   1.600490E-10   4.130564E-11
 tm  69   -1.101512  -1.221512  -0.006883   2.488786E-11   6.423091E-12
 yb  70   -0.333297  -1.253297  -0.038667   1.491272E-10   3.848693E-11
 lu  71   -1.122433  -1.212433   0.002196   2.456838E-11   6.340639E-12
 hf  72   -0.484739  -1.194739   0.019891   1.088257E-10   2.808587E-11
 ta  73   -1.335103  -1.215103  -0.000474   1.556640E-11   4.017395E-12
  w  74   -0.544688  -1.194688   0.019942   9.761238E-11   2.519193E-11
 re  75   -0.968905  -1.228905  -0.014275   3.722637E-11   9.607428E-12
 os  76    0.132157  -1.217843  -0.003213   4.799074E-10   1.238551E-10
 ir  77    0.084079  -1.235921  -0.021292   4.340913E-10   1.120308E-10
 pt  78    0.386176  -1.233824  -0.019194   8.821412E-10   2.276641E-10
 au  79   -0.420062  -1.220062  -0.005432   1.393212E-10   3.595619E-11
 hg  80   -0.049332  -1.219332  -0.004702   3.326926E-10   8.586172E-11
 tl  81   -0.422508  -1.192508   0.022122   1.437475E-10   3.709854E-11
 pb  82    0.834443  -1.205557   0.009072   2.634731E-09   6.799747E-10
 bi  83   -0.559939  -1.209939   0.004691   1.071076E-10   2.764246E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.0828   0.1792   0.0358  -0.1434  -0.0267      0.1942      7.9368
