# M_ini =  4.00 Msun, Z = 0.0006, Y = 0.35, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.35, [alpha/Fe] = 0.0
# M_remnant = 0.938 Msun, M_yield(all) = 3.062 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.275950   1.667266E+00   5.445382E-01
 he   2   11.309169   0.379169   1.655119   1.359045E+00   4.438715E-01
  c   6    8.161390  -0.308610   0.967339   2.930542E-03   9.571308E-04
  n   7    9.113308   1.243308   2.519258   3.029995E-02   9.896128E-03
  o   8    7.360337  -1.369663  -0.093713   6.117086E-04   1.997873E-04
  f   9    3.652552  -0.767448   0.508502   1.423348E-07   4.648730E-08
 ne  10    7.444951  -0.525049   0.750901   1.004262E-03   3.279972E-04
 na  11    5.742179  -0.497821   0.778129   2.117933E-05   6.917284E-06
 mg  12    6.773383  -0.866617   0.409333   2.509525E-04   8.196245E-05
 al  13    5.706139  -0.743861   0.532089   2.288273E-05   7.473622E-06
 si  14    6.322705  -1.227295   0.048655   9.865005E-05   3.221964E-05
  p  15    4.397117  -1.012883   0.263067   1.289686E-06   4.212183E-07
  s  16    5.887186  -1.262814   0.013136   4.128288E-05   1.348321E-05
 cl  17    3.997583  -1.232417   0.043533   5.905081E-07   1.928631E-07
 ar  18    5.165954  -1.274046   0.001904   8.879810E-06   2.900194E-06
  k  19    3.837092  -1.242908   0.033042   4.485444E-07   1.464970E-07
 ca  20    5.011368  -1.278632  -0.002683   6.868415E-06   2.243261E-06
 sc  21    2.004063  -1.045937   0.230013   7.573226E-09   2.473457E-09
 ti  22    3.648079  -1.261921   0.014029   3.557409E-07   1.161869E-07
  v  23    2.682471  -1.277529  -0.001579   4.093042E-08   1.336810E-08
 cr  24    4.345513  -1.294487  -0.018537   1.927271E-06   6.294571E-07
 mn  25    4.201009  -1.278991  -0.003042   1.456720E-06   4.757728E-07
 fe  26    6.264050  -1.275950   0.000000   1.713399E-04   5.596053E-05
 co  27    3.937532  -0.932468   0.343482   8.519006E-07   2.782353E-07
 ni  28    5.004527  -1.195473   0.080477   1.000627E-05   3.268102E-06
 cu  29    3.666011  -0.583989   0.691961   4.910782E-07   1.603888E-07
 zn  30    3.671689  -0.958311   0.317639   5.194436E-07   1.696531E-07
 ga  31    2.603813  -0.476187   0.799763   4.681373E-08   1.528962E-08
 ge  32    3.050963  -0.529037   0.746913   1.354395E-07   4.423528E-08
 as  33    1.607010  -0.692990   0.582960   5.059139E-09   1.652342E-09
 se  34    2.942412  -0.397588   0.878362   1.147733E-07   3.748558E-08
 br  35    1.826733  -0.713267   0.562683   9.008854E-09   2.942340E-09
 kr  36    3.115584  -0.134416   1.141534   1.845305E-07   6.026867E-08
 rb  37    2.474491  -0.045509   1.230441   4.284407E-08   1.399311E-08
 sr  38    2.663983  -0.216017   1.059932   6.744037E-08   2.202639E-08
  y  39    1.960639  -0.249361   1.026589   1.355295E-08   4.426467E-09
 zr  40    2.260425  -0.269575   1.006375   2.801535E-08   9.149965E-09
 nb  41    1.017607  -0.392393   0.883557   1.614711E-09   5.273732E-10
 mo  42    1.364905  -0.575095   0.700855   3.734576E-09   1.219733E-09
 ru  44    1.035268  -0.724732   0.551218   1.823909E-09   5.956985E-10
 rh  45    0.080004  -0.979996   0.295954   2.064647E-10   6.743249E-11
 pd  46    0.938906  -0.711094   0.564856   1.536354E-09   5.017815E-10
 ag  47    0.244178  -0.955822   0.320127   3.161772E-10   1.032652E-10
 cd  48    1.024621  -0.685379   0.590571   1.981060E-09   6.470250E-10
 in  49   -0.082969  -0.842969   0.432981   1.583923E-10   5.173176E-11
 sn  50    1.360084  -0.709916   0.566034   4.522011E-09   1.476913E-09
 sb  51   -0.113792  -1.123792   0.152158   1.552383E-10   5.070166E-11
 te  52    0.915492  -1.264508   0.011442   1.713054E-09   5.594925E-10
  i  53    0.333878  -1.216122   0.059828   4.567583E-10   1.491797E-10
 xe  54    1.210005  -1.029995   0.245955   3.548573E-09   1.158983E-09
 cs  55   -0.003666  -1.083666   0.192284   2.198827E-10   7.181486E-11
 ba  56    1.524389  -0.655611   0.620339   7.658639E-09   2.501353E-09
 la  57    0.319350  -0.850650   0.425300   4.834702E-10   1.579040E-10
 ce  58    0.695467  -0.884533   0.391417   1.159707E-09   3.787666E-10
 pr  59   -0.255050  -1.015050   0.260900   1.306694E-10   4.267734E-11
 nd  60    0.408112  -1.041888   0.234062   6.138950E-10   2.005014E-10
 sm  62   -0.279787  -1.219787   0.056163   1.308995E-10   4.275249E-11
 eu  63   -0.743700  -1.253700   0.022250   4.573854E-11   1.493845E-11
 gd  64   -0.232029  -1.282029  -0.006080   1.530719E-10   4.999409E-11
 tb  65   -0.916399  -1.236399   0.039550   3.213680E-11   1.049605E-11
 dy  66   -0.056801  -1.186801   0.089149   2.378809E-10   7.769319E-11
 ho  67   -0.776231  -1.246231   0.029718   4.605296E-11   1.504115E-11
 er  68   -0.264725  -1.184725   0.091224   1.517481E-10   4.956176E-11
 tm  69   -1.088180  -1.208180   0.067770   2.299914E-11   7.511644E-12
 yb  70   -0.204735  -1.124735   0.151215   1.797749E-10   5.871545E-11
 lu  71   -1.037168  -1.127168   0.148781   2.680767E-11   8.755529E-12
 hf  72   -0.328773  -1.038773   0.237177   1.398303E-10   4.566934E-11
 ta  73   -1.212037  -1.092037   0.183913   1.852024E-11   6.048809E-12
  w  74   -0.378771  -1.028771   0.247179   1.282020E-10   4.187147E-11
 re  75   -0.934580  -1.194580   0.081370   3.608823E-11   1.178661E-11
 os  76    0.116749  -1.233251   0.042699   4.147707E-10   1.354664E-10
 ir  77    0.041150  -1.278850  -0.002900   3.523920E-10   1.150931E-10
 pt  78    0.337834  -1.282166  -0.006217   7.073486E-10   2.310239E-10
 au  79   -0.453282  -1.253282   0.022667   1.156615E-10   3.777567E-11
 hg  80    0.070553  -1.099447   0.176503   3.930224E-10   1.283632E-10
 tl  81   -0.236141  -1.006141   0.269809   1.978403E-10   6.461571E-11
 pb  82    0.905797  -1.134203   0.141747   2.782286E-09   9.087096E-10
 bi  83   -0.540214  -1.190214   0.085736   1.004472E-10   3.280659E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.2241   1.0310   0.4178  -0.6132  -0.2760      0.8141      8.4955
