# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.35, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.35, [alpha/Fe] = 0.0
# M_remnant = 0.880 Msun, M_yield(all) = 2.120 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.314984   1.268083E+00   5.981951E-01
 he   2   11.216942   0.286942   1.601925   8.358837E-01   3.943128E-01
  c   6    8.626678   0.156678   1.471661   6.531494E-03   3.081113E-03
  n   7    8.512595   0.642595   1.957578   5.779242E-03   2.726252E-03
  o   8    7.710231  -1.019769   0.295215   1.041197E-03   4.911656E-04
  f   9    4.756593   0.336593   1.651576   1.375606E-06   6.489167E-07
 ne  10    7.859528  -0.110472   1.204512   2.004894E-03   9.457722E-04
 na  11    6.008362  -0.231638   1.083346   2.973295E-05   1.402597E-05
 mg  12    6.875231  -0.764769   0.550215   2.390336E-04   1.127597E-04
 al  13    5.378504  -1.071496   0.243488   8.184942E-06   3.861096E-06
 si  14    6.309031  -1.240969   0.074014   7.273690E-05   3.431230E-05
  p  15    4.693383  -0.716617   0.598367   1.940405E-06   9.153507E-07
  s  16    5.864770  -1.285230   0.029754   2.986153E-05   1.408663E-05
 cl  17    3.970568  -1.259432   0.055552   4.217206E-07   1.989390E-07
 ar  18    5.126850  -1.313150   0.001834   6.170666E-06   2.910899E-06
  k  19    3.787537  -1.292463   0.022521   3.043397E-07   1.435667E-07
 ca  20    4.973865  -1.316135  -0.001152   4.791866E-06   2.260475E-06
 sc  21    1.935365  -1.114635   0.200349   4.917287E-09   2.319640E-09
 ti  22    3.619788  -1.290212   0.024772   2.537073E-07   1.196818E-07
  v  23    2.652478  -1.307522   0.007462   2.905335E-08   1.370539E-08
 cr  24    4.308362  -1.331638  -0.016654   1.345567E-06   6.347464E-07
 mn  25    4.161495  -1.318505  -0.003521   1.011593E-06   4.772006E-07
 fe  26    6.225016  -1.314984   0.000000   1.190819E-04   5.617472E-05
 co  27    3.819909  -1.050091   0.264893   4.942072E-07   2.331332E-07
 ni  28    4.931420  -1.268580   0.046404   6.402458E-06   3.020242E-06
 cu  29    3.407964  -0.842036   0.472948   2.060970E-07   9.722247E-08
 zn  30    3.484192  -1.145808   0.169176   2.552811E-07   1.204242E-07
 ga  31    2.297824  -0.782176   0.532808   1.759793E-08   8.301500E-09
 ge  32    2.755034  -0.824966   0.490018   5.215020E-08   2.460090E-08
 as  33    1.355633  -0.944367   0.370617   2.156960E-09   1.017506E-09
 se  34    2.655264  -0.684736   0.630248   4.509619E-08   2.127330E-08
 br  35    1.602846  -0.937154   0.377830   4.086761E-09   1.927855E-09
 kr  36    3.166578  -0.083422   1.231562   1.589312E-07   7.497290E-08
 rb  37    2.414969  -0.105031   1.209953   2.850110E-08   1.344487E-08
 sr  38    2.761311  -0.118689   1.196295   6.429583E-08   3.033038E-08
  y  39    2.192906  -0.017094   1.297890   1.759720E-08   8.301159E-09
 zr  40    2.665293   0.135293   1.450277   5.443612E-08   2.567924E-08
 nb  41    1.402835  -0.007165   1.307819   2.981710E-09   1.406567E-09
