# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.30, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.38, [alpha/Fe] = 0.0
# M_remnant = 0.858 Msun, M_yield(all) = 2.142 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.357043   1.414479E+00   6.604008E-01
 he   2   11.097673   0.167673   1.524716   7.084591E-01   3.307699E-01
  c   6    8.940706   0.470706   1.827749   1.497197E-02   6.990208E-03
  n   7    8.046654   0.176654   1.533697   2.204848E-03   1.029413E-03
  o   8    7.548077  -1.181923   0.175120   7.996144E-04   3.733290E-04
  f   9    4.523898   0.103898   1.460941   8.979423E-07   4.192370E-07
 ne  10    7.267555  -0.702445   0.654598   5.647870E-04   2.636913E-04
 na  11    5.466588  -0.773412   0.583631   9.526040E-06   4.447577E-06
 mg  12    6.528782  -1.111218   0.245825   1.186774E-04   5.540885E-05
 al  13    5.208871  -1.241129   0.115914   6.177768E-06   2.884315E-06
 si  14    6.222280  -1.327720   0.029323   6.637099E-05   3.098770E-05
  p  15    4.172552  -1.237448   0.119595   6.523937E-07   3.045937E-07
  s  16    5.804381  -1.345619   0.011424   2.894077E-05   1.351205E-05
 cl  17    3.907850  -1.322150   0.034893   4.072880E-07   1.901572E-07
 ar  18    5.083458  -1.356542   0.000501   6.228426E-06   2.907967E-06
  k  19    3.745896  -1.334104   0.022939   3.084281E-07   1.440009E-07
 ca  20    4.930061  -1.359939  -0.002896   4.831469E-06   2.255746E-06
 sc  21    1.867471  -1.182529   0.174514   4.691154E-09   2.190235E-09
 ti  22    3.559844  -1.350156   0.006887   2.462338E-07   1.149632E-07
  v  23    2.598662  -1.361338  -0.004295   2.863051E-08   1.336719E-08
 cr  24    4.264119  -1.375881  -0.018838   1.355579E-06   6.329011E-07
 mn  25    4.119945  -1.360055  -0.003012   1.025426E-06   4.787572E-07
 fe  26    6.182957  -1.357043   0.000000   1.205910E-04   5.630229E-05
 co  27    3.857755  -1.012245   0.344798   6.014555E-07   2.808113E-07
 ni  28    4.894896  -1.305104   0.051939   6.570881E-06   3.067854E-06
 cu  29    3.401495  -0.848505   0.508538   2.264558E-07   1.057291E-07
 zn  30    3.445096  -1.184904   0.172139   2.602543E-07   1.215092E-07
 ga  31    2.236802  -0.843198   0.513845   1.705005E-08   7.960434E-09
 ge  32    2.671387  -0.908613   0.448430   4.794506E-08   2.238489E-08
 as  33    1.264318  -1.035682   0.321361   1.949736E-09   9.103049E-10
 se  34    2.505273  -0.834727   0.522316   3.558474E-08   1.661403E-08
 br  35    1.459469  -1.080531   0.276512   3.274000E-09   1.528586E-09
 kr  36    2.534517  -0.715483   0.641561   4.091023E-08   1.910043E-08
 rb  37    1.892265  -0.627735   0.729308   9.497048E-09   4.434042E-09
 sr  38    2.052844  -0.827156   0.529887   1.400024E-08   6.536518E-09
  y  39    1.318929  -0.891071   0.465972   2.623707E-09   1.224973E-09
 zr  40    1.587698  -0.942302   0.414741   5.028441E-09   2.347710E-09
 nb  41    0.386429  -1.023571   0.333472   3.202642E-10   1.495270E-10
 mo  42    0.735954  -1.204046   0.152997   7.431075E-10   3.469467E-10
 ru  44    0.452649  -1.307351   0.049692   4.046297E-10   1.889161E-10
 rh  45   -0.249611  -1.309611   0.047432   8.200158E-11   3.828542E-11
 pd  46    0.384062  -1.265938   0.091105   3.633255E-10   1.696317E-10
 ag  47   -0.104896  -1.304896   0.052147   1.199758E-10   5.601507E-11
 cd  48    0.463480  -1.246520   0.110523   4.617734E-10   2.155957E-10
 in  49   -0.529045  -1.289045   0.067998   4.811159E-11   2.246264E-11
 sn  50    0.796619  -1.273381   0.083662   1.048527E-09   4.895430E-10
 sb  51   -0.520726  -1.530726  -0.173683   5.160078E-11   2.409170E-11
 te  52    0.450352  -1.729648  -0.372605   4.988755E-10   2.329182E-10
  i  53    0.193184  -1.356816   0.000227   2.802747E-10   1.308564E-10
 xe  54    0.893630  -1.346370   0.010673   1.450456E-09   6.771982E-10
 cs  55   -0.252300  -1.332300   0.024743   1.052320E-10   4.913139E-11
 ba  56    0.965007  -1.214993   0.142050   1.792695E-09   8.369847E-10
 la  57   -0.115302  -1.285302   0.071741   1.507681E-10   7.039154E-11
 ce  58    0.287077  -1.292923   0.064120   3.841690E-10   1.793632E-10
 pr  59   -0.562452  -1.322452   0.034591   5.462150E-11   2.550203E-11
 nd  60    0.100677  -1.349323   0.007720   2.567826E-10   1.198883E-10
 sm  62   -0.526653  -1.466653  -0.109610   6.293497E-11   2.938347E-11
 eu  63   -0.852131  -1.362131  -0.005088   3.022974E-11   1.411385E-11
 gd  64   -0.408505  -1.458505  -0.101461   8.646939E-11   4.037137E-11
 tb  65   -1.039908  -1.359908  -0.002865   2.051569E-11   9.578492E-12
 dy  66   -0.223459  -1.353459   0.003584   1.374730E-10   6.418424E-11
 ho  67   -0.891257  -1.361257  -0.004214   2.997941E-11   1.399697E-11
 er  68   -0.438995  -1.358995  -0.001952   8.616797E-11   4.023065E-11
 tm  69   -1.236156  -1.356156   0.000887   1.387802E-11   6.479458E-12
 yb  70   -0.470496  -1.390496  -0.033453   8.268187E-11   3.860303E-11
 lu  71   -1.252117  -1.342117   0.014926   1.385614E-11   6.469244E-12
 hf  72   -0.615604  -1.325604   0.031439   6.121802E-11   2.858185E-11
 ta  73   -1.455848  -1.335848   0.021195   8.962447E-12   4.184444E-12
  w  74   -0.674282  -1.324282   0.032761   5.506723E-11   2.571013E-11
 re  75   -1.095564  -1.355564   0.001479   2.114358E-11   9.871649E-12
 os  76   -0.009442  -1.359442  -0.002399   2.633371E-10   1.229485E-10
 ir  77   -0.045628  -1.365628  -0.008585   2.448176E-10   1.143020E-10
