# M_ini =  4.00 Msun, Z = 0.0006, Y = 0.40, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.31, [alpha/Fe] = 0.0
# M_remnant = 0.984 Msun, M_yield(all) = 3.016 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.230097   1.491128E+00   4.944387E-01
 he   2   11.402124   0.472124   1.702221   1.505564E+00   4.992255E-01
  c   6    8.067306  -0.402694   0.827403   2.109773E-03   6.995734E-04
  n   7    8.877859   1.007859   2.237956   1.575805E-02   5.225165E-03
  o   8    7.156644  -1.573356  -0.343259   3.422694E-04   1.134921E-04
  f   9    3.402651  -1.017349   0.212748   7.160103E-08   2.374198E-08
 ne  10    7.110607  -0.859393   0.370704   4.071789E-04   1.350153E-04
 na  11    5.169861  -1.070139   0.159958   5.071116E-06   1.681517E-06
 mg  12    6.524310  -1.115690   0.114407   1.262988E-04   4.187907E-05
 al  13    5.747638  -0.702362   0.527735   2.251730E-05   7.466445E-06
 si  14    6.348408  -1.201592   0.028505   9.352789E-05   3.101264E-05
  p  15    4.290293  -1.119707   0.110390   9.019224E-07   2.990658E-07
  s  16    5.931269  -1.218731   0.011366   4.085759E-05   1.354785E-05
 cl  17    4.029136  -1.200864   0.029233   5.670310E-07   1.880202E-07
 ar  18    5.210532  -1.229468   0.000629   8.795267E-06   2.916397E-06
  k  19    3.865924  -1.214076   0.016021   4.286822E-07   1.421455E-07
 ca  20    5.058529  -1.231471  -0.001374   6.845859E-06   2.269998E-06
 sc  21    1.934750  -1.115250   0.114847   5.774012E-09   1.914588E-09
 ti  22    3.685936  -1.224064   0.006033   3.469240E-07   1.150355E-07
  v  23    2.726714  -1.233286  -0.003189   4.053210E-08   1.343992E-08
 cr  24    4.391223  -1.248777  -0.018680   1.914604E-06   6.348579E-07
 mn  25    4.252487  -1.227513   0.002584   1.466778E-06   4.863645E-07
 fe  26    6.309903  -1.230097   0.000000   1.702345E-04   5.644757E-05
 co  27    3.851737  -1.018263   0.211834   6.253225E-07   2.073489E-07
 ni  28    5.006220  -1.193780   0.036317   8.934050E-06   2.962416E-06
 cu  29    3.443897  -0.806103   0.423994   2.633820E-07   8.733409E-08
 zn  30    3.557837  -1.072163   0.157934   3.554851E-07   1.178743E-07
 ga  31    2.348890  -0.731110   0.498987   2.326981E-08   7.715968E-09
 ge  32    2.801175  -0.778825   0.451272   6.818126E-08   2.260803E-08
 as  33    1.400434  -0.899566   0.330531   2.811965E-09   9.324112E-10
 se  34    2.664066  -0.675934   0.554163   5.409178E-08   1.793614E-08
 br  35    1.600335  -0.939665   0.290432   4.778576E-09   1.584514E-09
 kr  36    2.789027  -0.460973   0.769125   7.769305E-08   2.576201E-08
 rb  37    2.134825  -0.385175   0.844922   1.751303E-08   5.807095E-09
 sr  38    2.348274  -0.531726   0.698371   2.915837E-08   9.668539E-09
  y  39    1.652218  -0.557782   0.672315   5.958308E-09   1.975698E-09
 zr  40    1.951589  -0.578411   0.651686   1.228496E-08   4.073534E-09
 nb  41    0.729618  -0.680382   0.549715   7.440725E-10   2.467248E-10
 mo  42    1.083721  -0.856279   0.373818   1.746429E-09   5.790933E-10
 ru  44    0.786064  -0.973936   0.256161   9.191511E-10   3.047787E-10
 rh  45   -0.037879  -1.097879   0.132218   1.407579E-10   4.667349E-11
 pd  46    0.709212  -0.940788   0.289309   8.097152E-10   2.684911E-10
 ag  47    0.118183  -1.081817   0.148280   2.114671E-10   7.011976E-11
 cd  48    0.793054  -0.916946   0.313151   1.039554E-09   3.447028E-10
 in  49   -0.261977  -1.021977   0.208120   9.380715E-11   3.110524E-11
 sn  50    1.124811  -0.945189   0.284908   2.353020E-09   7.802312E-10
 sb  51   -0.271647  -1.281647  -0.051550   9.652796E-11   3.200743E-11
 te  52    0.729891  -1.450109  -0.220012   1.000178E-09   3.316463E-10
  i  53    0.335689  -1.214311   0.015786   4.102111E-10   1.360207E-10
 xe  54    1.104098  -1.135902   0.094195   2.483646E-09   8.235448E-10
 cs  55   -0.064762  -1.144762   0.085335   1.708457E-10   5.665022E-11
 ba  56    1.292708  -0.887292   0.342805   4.018629E-09   1.332526E-09
 la  57    0.155656  -1.014344   0.215753   2.966098E-10   9.835199E-11
 ce  58    0.545016  -1.034984   0.195113   7.334593E-10   2.432057E-10
 pr  59   -0.349386  -1.109386   0.120711   9.404754E-11   3.118495E-11
 nd  60    0.315252  -1.134748   0.095349   4.435270E-10   1.470678E-10
 sm  62   -0.339751  -1.279751  -0.049654   1.020171E-10   3.382755E-11
 eu  63   -0.725377  -1.235377  -0.005280   4.267044E-11   1.414897E-11
 gd  64   -0.243249  -1.293249  -0.063152   1.333718E-10   4.422437E-11
 tb  65   -0.904219  -1.224219   0.005878   2.955919E-11   9.801447E-12
 dy  66   -0.063751  -1.193751   0.036346   2.093531E-10   6.941879E-11
 ho  67   -0.757967  -1.227967   0.002130   4.295677E-11   1.424391E-11
 er  68   -0.274427  -1.194427   0.035670   1.327015E-10   4.400210E-11
 tm  69   -1.088218  -1.208218   0.021879   2.056760E-11   6.819951E-12
 yb  70   -0.276039  -1.196039   0.034058   1.364021E-10   4.522919E-11
 lu  71   -1.081303  -1.171303   0.058794   2.165183E-11   7.179468E-12
 hf  72   -0.414414  -1.124414   0.105683   1.026094E-10   3.402396E-11
 ta  73   -1.276958  -1.156958   0.073139   1.426379E-11   4.729690E-12
  w  74   -0.468369  -1.118369   0.111728   9.328102E-11   3.093078E-11
 re  75   -0.944733  -1.204733   0.025364   3.153868E-11   1.045782E-11
 os  76    0.132919  -1.217081   0.013016   3.852201E-10   1.277340E-10
 ir  77    0.077903  -1.242097  -0.012000   3.430035E-10   1.137355E-10
 pt  78    0.371500  -1.248500  -0.018403   6.835766E-10   2.266652E-10
 au  79   -0.426032  -1.226032   0.004065   1.101410E-10   3.652133E-11
 hg  80    0.002492  -1.167508   0.062589   3.004948E-10   9.964019E-11
 tl  81   -0.336412  -1.106412   0.123685   1.404681E-10   4.657741E-11
 pb  82    0.867213  -1.172787   0.057310   2.277045E-09   7.550388E-10
 bi  83   -0.548877  -1.198877   0.031220   8.806102E-11   2.919990E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.1932   0.6741   0.2123  -0.4619  -0.1549      0.6671      8.3942
