# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.24, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.41, [alpha/Fe] = 0.0
# M_remnant = 0.801 Msun, M_yield(all) = 2.199 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.361876   1.441618E+00   6.556237E-01
 he   2   11.097055   0.167055   1.528930   7.210486E-01   3.279209E-01
  c   6    9.231870   0.761870   2.123746   2.961464E-02   1.346825E-02
  n   7    7.679011  -0.190989   1.170886   9.638053E-04   4.383226E-04
  o   8    7.569763  -1.160237   0.201638   8.565194E-04   3.895308E-04
  f   9    5.327235   0.907235   2.269111   5.818873E-06   2.646327E-06
 ne  10    8.093986   0.123986   1.485862   3.918737E-03   1.782176E-03
 na  11    6.140176  -0.099824   1.262052   4.578822E-05   2.082372E-05
 mg  12    7.060157  -0.579843   0.782033   4.212488E-04   1.915770E-04
 al  13    6.118289  -0.331711   1.030165   5.110963E-05   2.324381E-05
 si  14    6.496964  -1.053036   0.308840   1.272927E-04   5.789060E-05
  p  15    4.682888  -0.727112   0.634763   2.153275E-06   9.792739E-07
  s  16    5.812711  -1.337289   0.024586   3.008810E-05   1.368357E-05
 cl  17    3.978969  -1.251031   0.110845   4.897808E-07   2.227441E-07
 ar  18    5.080036  -1.359964   0.001912   6.304914E-06   2.867370E-06
  k  19    3.775167  -1.304833   0.057042   3.363486E-07   1.529657E-07
 ca  20    4.921716  -1.368284  -0.006408   4.832749E-06   2.197854E-06
 sc  21    2.081698  -0.968302   0.393574   7.829977E-09   3.560943E-09
 ti  22    3.576810  -1.333190   0.028686   2.614948E-07   1.189235E-07
  v  23    2.600276  -1.359724   0.002152   2.928843E-08   1.331989E-08
 cr  24    4.261082  -1.378918  -0.017042   1.372694E-06   6.242782E-07
 mn  25    4.105544  -1.374456  -0.012581   1.011012E-06   4.597915E-07
 fe  26    6.178124  -1.361876   0.000000   1.216570E-04   5.532760E-05
 co  27    4.113808  -0.756192   0.605684   1.105377E-06   5.027070E-07
 ni  28    4.952897  -1.247103   0.114773   7.706558E-06   3.504814E-06
 cu  29    3.668154  -0.581846   0.780030   4.263273E-07   1.938866E-07
 zn  30    3.594775  -1.035225   0.326650   3.763824E-07   1.711725E-07
 ga  31    2.516030  -0.563970   0.797906   3.306021E-08   1.503523E-08
 ge  32    2.958237  -0.621763   0.740112   9.458630E-08   4.301627E-08
 as  33    1.516693  -0.783307   0.578568   3.553070E-09   1.615877E-09
 se  34    2.848239  -0.491761   0.870114   7.988955E-08   3.633244E-08
 br  35    1.826504  -0.713496   0.648380   7.759037E-09   3.528681E-09
 kr  36    3.260757   0.010757   1.372632   2.241424E-07   1.019362E-07
 rb  37    2.559778   0.039778   1.401653   4.521170E-08   2.056153E-08
 sr  38    2.855223  -0.024777   1.337098   9.072939E-08   4.126222E-08
  y  39    2.285069   0.075069   1.436945   2.473485E-08   1.124900E-08
 zr  40    2.772505   0.242505   1.604381   7.933369E-08   3.607964E-08
 nb  41    1.502444   0.092444   1.454320   4.263605E-09   1.939016E-09
 mo  42    1.939659  -0.000341   1.361534   1.213849E-08   5.520385E-09
 ru  44    1.587234  -0.172766   1.189110   5.620767E-09   2.556232E-09
 rh  45    0.494992  -0.565008   0.796868   4.641725E-10   2.110979E-10
 pd  46    1.500404  -0.149596   1.212280   4.841236E-09   2.201714E-09
 ag  47    0.698621  -0.501379   0.860496   7.790792E-10   3.543122E-10
 cd  48    1.634657  -0.075343   1.286532   6.981889E-09   3.175247E-09
 in  49    0.495750  -0.264250   1.097626   5.191564E-10   2.361037E-10
 sn  50    2.089431   0.019431   1.381307   2.099575E-08   9.548516E-09
 sb  51    0.592328  -0.417672   0.944204   6.822817E-10   3.102904E-10
 te  52    1.706760  -0.473240   0.888636   9.155750E-09   4.163883E-09
  i  53    0.660651  -0.889349   0.472527   8.381171E-10   3.811617E-10
 xe  54    2.052473  -0.187527   1.174348   2.147961E-08   9.768569E-09
 cs  55    0.676584  -0.403416   0.958459   9.105111E-10   4.140853E-10
 ba  56    2.784066   0.604066   1.965942   1.206260E-07   5.485872E-08
 la  57    1.716468   0.546468   1.908344   1.043118E-08   4.743925E-09
 ce  58    2.294394   0.714394   2.076270   3.985463E-08   1.812522E-08
 pr  59    1.237124   0.477124   1.838999   3.509077E-09   1.595870E-09
 nd  60    1.943083   0.493083   1.854959   1.819986E-08   8.276992E-09
 sm  62    1.222332   0.282332   1.644208   3.593080E-09   1.634073E-09
 eu  63    0.170729  -0.339271   1.022605   3.247670E-10   1.476986E-10
 gd  64    1.084198   0.034198   1.396074   2.745830E-09   1.248758E-09
 tb  65    0.131356  -0.188644   1.173232   3.101724E-10   1.410612E-10
 dy  66    1.227571   0.097571   1.459447   3.961905E-09   1.801808E-09
 ho  67    0.193554  -0.276446   1.085429   3.714391E-10   1.689243E-10
 er  68    1.059111   0.139111   1.500987   2.768812E-09   1.259210E-09
 tm  69    0.101198  -0.018802   1.343074   3.075638E-10   1.398749E-10
 yb  70    1.405208   0.485208   1.847084   6.336279E-09   2.881634E-09
 lu  71    0.462041   0.372041   1.733917   7.327709E-10   3.332520E-10
 hf  72    1.325774   0.615774   1.977649   5.467637E-09   2.486590E-09
 ta  73    0.368945   0.488945   1.850820   6.102017E-10   2.775096E-10
  w  74    1.297423   0.647423   2.009299   5.260536E-09   2.392404E-09
 re  75    0.365164   0.105164   1.467040   6.211539E-10   2.824905E-10
 os  76    1.255335  -0.094665   1.267210   4.902698E-09   2.229665E-09
 ir  77    0.576838  -0.743162   0.618713   1.045383E-09   4.754230E-10
 pt  78    1.314472  -0.305528   1.056347   5.797091E-09   2.636421E-09
 au  79    0.527155  -0.272845   1.089031   9.560294E-10   4.347863E-10
 hg  80    1.789377   0.619377   1.981253   1.779398E-08   8.092406E-09
 tl  81    1.637915   0.867915   2.229790   1.280151E-08   5.821913E-09
 pb  82    3.558696   1.518696   2.880571   1.083745E-06   4.928690E-07
 bi  83    2.193095   1.543095   2.904971   4.699930E-08   2.137450E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
   -0.2027   1.4595   1.9514   0.4919   0.9292      1.9422      9.5376
