# M_ini =  6.00 Msun, Z = 0.0006, Y = 0.30, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.38, [alpha/Fe] = 0.0
# M_remnant = 1.080 Msun, M_yield(all) = 4.920 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.300956   2.866403E+00   5.826379E-01
 he   2   11.248351   0.318351   1.619307   2.031180E+00   4.128668E-01
  c   6    7.734738  -0.735262   0.565694   1.888207E-03   3.838055E-04
  n   7    8.667838   0.797838   2.098794   1.867696E-02   3.796363E-03
  o   8    6.815627  -1.914373  -0.613417   3.000565E-04   6.099083E-05
  f   9    2.226262  -2.193738  -0.892783   9.169642E-09   1.863863E-09
 ne  10    6.859850  -1.110150   0.190805   4.302286E-04   8.745020E-05
 na  11    4.828960  -1.411040  -0.110085   4.446546E-06   9.038249E-07
 mg  12    6.311667  -1.328333  -0.027377   1.491687E-04   3.032071E-05
 al  13    5.922082  -0.527918   0.773038   6.468193E-05   1.314754E-05
 si  14    6.406826  -1.143174   0.157781   2.054579E-04   4.176231E-05
  p  15    4.240816  -1.169184   0.131771   1.547086E-06   3.144676E-07
  s  16    5.860425  -1.289575   0.011381   6.671593E-05   1.356098E-05
 cl  17    3.973387  -1.256613   0.044343   9.573451E-07   1.945943E-07
 ar  18    5.139746  -1.300254   0.000702   1.436309E-05   2.919507E-06
  k  19    3.794150  -1.285850   0.015106   6.985886E-07   1.419983E-07
 ca  20    4.988277  -1.301723  -0.000768   1.119429E-05   2.275402E-06
 sc  21    1.859918  -1.190082   0.110873   9.342591E-09   1.899017E-09
 ti  22    3.615269  -1.294731   0.006225   5.666746E-07   1.151848E-07
  v  23    2.656386  -1.303614  -0.002658   6.626645E-08   1.346962E-08
 cr  24    4.320057  -1.319943  -0.018987   3.123908E-06   6.349796E-07
 mn  25    4.184822  -1.295178   0.005778   2.412802E-06   4.904371E-07
 fe  26    6.239044  -1.300956   0.000000   2.779542E-04   5.649822E-05
 co  27    3.690958  -1.179042   0.121913   8.301314E-07   1.687362E-07
 ni  28    4.928494  -1.271506   0.029450   1.435001E-05   2.916847E-06
 cu  29    3.353089  -0.896911   0.404044   4.111058E-07   8.356321E-08
 zn  30    3.506663  -1.123337   0.177618   6.079095E-07   1.235664E-07
