# M_ini =  6.00 Msun, Z = 0.0006, Y = 0.35, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.35, [alpha/Fe] = 0.0
# M_remnant = 1.168 Msun, M_yield(all) = 4.832 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.267631   2.618639E+00   5.419707E-01
 he   2   11.323020   0.393020   1.660651   2.203717E+00   4.560958E-01
  c   6    7.502193  -0.967807   0.299824   1.012836E-03   2.096232E-04
  n   7    8.308984   0.438984   1.706615   7.467773E-03   1.545579E-03
  o   8    6.644260  -2.085740  -0.818109   1.847479E-04   3.823663E-05
  f   9    1.711648  -2.708352  -1.440721   2.561401E-09   5.301243E-10
 ne  10    6.750381  -1.219619   0.048012   2.982618E-04   6.173022E-05
 na  11    4.368355  -1.871645  -0.604014   1.406516E-06   2.911019E-07
 mg  12    6.086140  -1.553860  -0.286229   8.069237E-05   1.670062E-05
 al  13    5.655921  -0.794079   0.473552   3.201549E-05   6.626136E-06
 si  14    6.518213  -1.031787   0.235844   2.423722E-04   5.016294E-05
  p  15    4.154120  -1.255880   0.011751   1.157596E-06   2.395837E-07
  s  16    5.892865  -1.257135   0.010496   6.566629E-05   1.359073E-05
 cl  17    4.024279  -1.205721   0.061910   9.818526E-07   2.032107E-07
 ar  18    5.172368  -1.267632  -0.000001   1.414153E-05   2.926824E-06
  k  19    3.820782  -1.259218   0.008413   6.785310E-07   1.404332E-07
 ca  20    5.022046  -1.267954  -0.000323   1.105240E-05   2.287477E-06
 sc  21    1.826109  -1.223891   0.043740   7.895818E-09   1.634170E-09
 ti  22    3.644312  -1.265688   0.001943   5.533232E-07   1.145194E-07
  v  23    2.688727  -1.271273  -0.003642   6.521886E-08   1.349812E-08
 cr  24    4.353287  -1.286713  -0.019082   3.080587E-06   6.375785E-07
 mn  25    4.220469  -1.259531   0.008100   2.392807E-06   4.952311E-07
 fe  26    6.272369  -1.267631   0.000000   2.741376E-04   5.673732E-05
 co  27    3.649972  -1.220028   0.047603   6.900801E-07   1.428235E-07
 ni  28    4.939888  -1.260112   0.007519   1.341519E-05   2.776496E-06
 cu  29    3.130803  -1.119197   0.148434   2.251653E-07   4.660169E-08
 zn  30    3.420588  -1.209412   0.058219   4.530626E-07   9.376881E-08
 ga  31    2.042647  -1.037353   0.230278   2.017248E-08   4.175028E-09
 ge  32    2.513217  -1.066783   0.200848   6.175825E-08   1.278189E-08
 as  33    1.178313  -1.121687   0.145944   2.961076E-09   6.128437E-10
 se  34    2.351300  -0.988700   0.278931   4.626945E-08   9.576228E-09
 br  35    1.398460  -1.141540   0.126091   5.260382E-09   1.088723E-09
 kr  36    2.518656  -0.731344   0.536287   7.325831E-08   1.516202E-08
 rb  37    1.864045  -0.655955   0.611676   1.649568E-08   3.414055E-09
 sr  38    2.096503  -0.783497   0.484134   2.870345E-08   5.940654E-09
  y  39    1.449689  -0.760311   0.507320   6.563786E-09   1.358484E-09
 zr  40    1.808792  -0.721208   0.546423   1.556029E-08   3.220459E-09
 nb  41    0.591034  -0.818966   0.448665   9.497134E-10   1.965589E-10
 mo  42    0.953176  -0.986824   0.280807   2.268445E-09   4.694923E-10
 ru  44    0.671851  -1.088149   0.179482   1.241118E-09   2.568699E-10
 rh  45   -0.110136  -1.170136   0.097495   2.093038E-10   4.331888E-11
 pd  46    0.614746  -1.035254   0.232377   1.144165E-09   2.368038E-10
 ag  47    0.050008  -1.149992   0.117639   3.173890E-10   6.568892E-11
 cd  48    0.715905  -0.994095   0.273536   1.528690E-09   3.163877E-10
 in  49   -0.325940  -1.085940   0.181691   1.421783E-10   2.942615E-11
 sn  50    1.076215  -0.993785   0.273846   3.695853E-09   7.649181E-10
 sb  51   -0.310064  -1.320064  -0.052433   1.551662E-10   3.211422E-11
 te  52    0.696148  -1.483852  -0.216221   1.625210E-09   3.363641E-10
  i  53    0.296411  -1.253589   0.014042   6.580969E-10   1.362041E-10
 xe  54    1.081985  -1.158015   0.109616   4.147212E-09   8.583343E-10
 cs  55   -0.089320  -1.169320   0.098311   2.835356E-10   5.868238E-11
 ba  56    1.299178  -0.880822   0.386809   7.164640E-09   1.482841E-09
 la  57    0.165351  -1.004649   0.262982   5.326490E-10   1.102405E-10
 ce  58    0.569256  -1.010744   0.256887   1.362312E-09   2.819531E-10
 pr  59   -0.336959  -1.096959   0.170672   1.699556E-10   3.517514E-11
 nd  60    0.308749  -1.141251   0.126380   7.676502E-10   1.588779E-10
 sm  62   -0.354448  -1.294448  -0.026817   1.732307E-10   3.585296E-11
 eu  63   -0.760460  -1.270460  -0.002829   6.912036E-11   1.430560E-11
 gd  64   -0.258762  -1.308762  -0.041131   2.260109E-10   4.677671E-11
 tb  65   -0.935375  -1.255375   0.012256   4.831679E-11   9.999960E-12
 dy  66   -0.082970  -1.212970   0.054661   3.517569E-10   7.280192E-11
 ho  67   -0.791087  -1.261087   0.006544   6.989930E-11   1.446682E-11
 er  68   -0.283527  -1.203527   0.064104   2.282844E-10   4.724724E-11
 tm  69   -1.105302  -1.225302   0.042329   3.472652E-11   7.187229E-12
 yb  70   -0.277155  -1.197155   0.070476   2.389358E-10   4.945172E-11
 lu  71   -1.094968  -1.184968   0.082663   3.685087E-11   7.626899E-12
 hf  72   -0.411215  -1.121215   0.146417   1.815658E-10   3.757805E-11
 ta  73   -1.283366  -1.163366   0.104265   2.468246E-11   5.108444E-12
  w  74   -0.455372  -1.105372   0.162259   1.688798E-10   3.495247E-11
 re  75   -0.952675  -1.212675   0.054956   5.437220E-11   1.125323E-11
 os  76    0.105469  -1.244531   0.023100   6.350788E-10   1.314401E-10
 ir  77    0.039573  -1.280427  -0.012796   5.514845E-10   1.141389E-10
 pt  78    0.346365  -1.273635  -0.006004   1.132958E-09   2.344844E-10
 au  79   -0.455501  -1.255501   0.012131   1.807346E-10   3.740602E-11
 hg  80    0.011159  -1.158841   0.108790   5.383297E-10   1.114163E-10
 tl  81   -0.305098  -1.075098   0.192533   2.651214E-10   5.487127E-11
 pb  82    0.886940  -1.153060   0.114571   4.184800E-09   8.661138E-10
 bi  83   -0.524902  -1.174902   0.092729   1.634255E-10   3.382361E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]  [C+N+O/Fe]  log e(CNO)
    0.0653   0.5126   0.2583  -0.2544  -0.1437      0.1427      7.8323
